OK18, 89.10, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK19, 92.60, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK2, 33.07, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK20, 96.11, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK21, 99.61, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK22, 103.11, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK23, 106.61, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK24, 110.12, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK25, 15.80, 26.26, 270.00, JC3H7C, MINI-FLAT-4
OK26, 19.23, 26.26, 270.00, JC3H7C, MINI-FLAT-4
OK27, 22.73, 26.26, 270.00, JC3H7C, MINI-FLAT-4
OK28, 26.04, 26.26, 270.00, JC3H7C, MINI-FLAT-4
OK3, 36.57, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK4, 40.07, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK5, 43.57, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK6, 47.08, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK7, 50.58, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK8, 54.08, 26.25, 270.00, JC3H7C, MINI-FLAT-4
OK9, 57.58, 26.25, 270.00, JC3H7C, MINI-FLAT-4
Q1, 45.24, 41.35, 180.00, 25MHz, 3.2X2.5_KX-7
Q2, 65.72, 73.96, 90.00, S9012, SOT23
Q3, 76.91, 54.53, 135.00, 8MHz, 5.0X3.2_2
Q4, 83.31, 59.72, 45.00, 32.768KHz, 3.2X1.5
Q5, 58.32, 65.34, 0.00, 12MHz, 3.2X2.5_KX-7
R1, 34.52, 57.01, 0.00, 6.2K, R0603
R10, 50.34, 65.49, 90.00, 33R, R0805
R100, 47.78, 31.39, 90.00, 100K, R0402
R101, 51.28, 31.39, 90.00, 100K, R0402
R102, 54.77, 31.39, 90.00, 100K, R0402
R103, 58.27, 31.39, 90.00, 100K, R0402
R104, 61.77, 31.39, 90.00, 100K, R0402
R105, 65.26, 31.39, 90.00, 100K, R0402
R106, 68.76, 31.39, 90.00, 100K, R0402
R107, 72.26, 31.39, 90.00, 100K, R0402
R108, 75.75, 31.39, 90.00, 100K, R0402
R109, 79.25, 31.39, 90.00, 100K, R0402
R11, 79.35, 37.11, 225.00, 100K, R0402
R110, 82.75, 31.39, 90.00, 100K, R0402
R111, 86.24, 31.39, 90.00, 100K, R0402
R112, 89.74, 31.39, 90.00, 100K, R0402
R113, 93.24, 31.39, 90.00, 100K, R0402
R114, 96.73, 31.39, 90.00, 100K, R0402
R115, 100.23, 31.39, 90.00, 100K, R0402
R116, 103.73, 31.39, 90.00, 100K, R0402
R117, 107.22, 31.39, 90.00, 100K, R0402
R118, 110.72, 31.39, 90.00, 100K, R0402
R119, 57.25, 16.03, 90.00, 6.8K, R0402
R12, 43.86, 65.49, 90.00, 33R, R0805
R120, 60.76, 15.98, 90.00, 6.8K, R0402
R121, 64.24, 16.00, 90.00, 6.8K, R0402
R122, 67.72, 15.98, 90.00, 6.8K, R0402
R123, 71.25, 15.98, 90.00, 6.8K, R0402
R124, 74.75, 16.03, 90.00, 6.8K, R0402
R125, 78.26, 15.98, 90.00, 6.8K, R0402
R126, 81.74, 15.98, 90.00, 6.8K, R0402
R127, 85.27, 15.98, 90.00, 6.8K, R0402
R128, 88.75, 16.00, 90.00, 6.8K, R0402
R129, 92.25, 16.00, 90.00, 6.8K, R0402
R13, 63.14, 71.30, 90.00, 1K, R0402
R130, 95.76, 16.00, 90.00, 6.8K, R0402
R131, 99.24, 16.03, 90.00, 6.8K, R0402
R132, 102.74, 15.98, 90.00, 6.8K, R0402
R133, 106.27, 16.00, 90.00, 6.8K, R0402
R134, 109.75, 15.98, 90.00, 6.8K, R0402
R135, 15.06, 16.00, 90.00, 6.8K, R0402
R136, 18.59, 15.98, 90.00, 6.8K, R0402
R137, 22.15, 16.00, 90.00, 6.8K, R0402
R138, 25.73, 16.00, 90.00, 6.8K, R0402
R14, 40.54, 65.49, 90.00, 33R, R0805
R15, 32.05, 31.39, 270.00, 680 Ohm, R0402
R16, 37.24, 62.26, 180.00, 33R, R0805
R17, 32.46, 19.82, 270.00, 3K, R0805
R18, 68.48, 71.45, 270.00, 1K, R0402
R19, 35.45, 31.37, 270.00, 680 Ohm, R0402
R2, 71.37, 60.91, 270.00, 510R, R0402
R20, 46.02, 65.49, 270.00, 49R9, R0805
R21, 35.99, 19.82, 270.00, 3K, R0805
R22, 48.18, 65.49, 270.00, 49R9, R0805
R23, 69.65, 71.45, 90.00, 1K, R0402
R24, 30.58, 65.49, 270.00, 49R9, R0805
R25, 39.04, 31.39, 270.00, 680 Ohm, R0402
R26, 55.55, 43.70, 0.00, 330R, R0402
R27, 39.51, 19.82, 270.00, 3K, R0805
R28, 55.55, 42.55, 0.00, 330R, R0402
R29, 63.17, 69.14, 270.00, 10K, R0402
R3, 74.75, 52.40, 315.00, 390R, R0603
R30, 34.52, 59.13, 180.00, 6.2K, R0603
R31, 72.03, 54.46, 90.00, 10K, R0402
R32, 42.54, 31.39, 270.00, 680 Ohm, R0402
R33, 43.03, 19.82, 270.00, 3K, R0805
R34, 38.38, 65.49, 270.00, 49R9, R0805
R35, 15.04, 31.42, 270.00, 680 Ohm, R0402
R36, 36.22, 65.49, 270.00, 49R9, R0805
R37, 46.03, 31.39, 270.00, 680 Ohm, R0402
